Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:24:56.521978 | Cash : 390.434936129 | Assets_value : 103.28125600000001 | Portfolio_change : -1.26%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:30:08.051944 | Cash : 390.434936129 | Assets_value : 103.70175400000001 | Portfolio_change : -1.17%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:35:19.508650 | Cash : 390.434936129 | Assets_value : 103.664048 | Portfolio_change : -1.18%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:40:31.014958 | Cash : 390.434936129 | Assets_value : 104.214121 | Portfolio_change : -1.07%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:45:42.457983 | Cash : 390.434936129 | Assets_value : 104.113301 | Portfolio_change : -1.09%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:50:53.893298 | Cash : 390.434936129 | Assets_value : 104.389709 | Portfolio_change : -1.04%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 07:56:05.324983 | Cash : 390.434936129 | Assets_value : 104.17782700000001 | Portfolio_change : -1.08%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:01:16.786508 | Cash : 390.434936129 | Assets_value : 103.93381500000001 | Portfolio_change : -1.13%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:06:28.315987 | Cash : 390.434936129 | Assets_value : 103.71545300000001 | Portfolio_change : -1.17%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:11:39.740213 | Cash : 390.434936129 | Assets_value : 103.26606200000002 | Portfolio_change : -1.26%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:16:51.218730 | Cash : 390.434936129 | Assets_value : 103.17368499999999 | Portfolio_change : -1.28%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:22:02.654128 | Cash : 390.434936129 | Assets_value : 103.57352000000002 | Portfolio_change : -1.20%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:27:14.108720 | Cash : 390.434936129 | Assets_value : 103.85480400000002 | Portfolio_change : -1.14%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:32:25.676585 | Cash : 390.434936129 | Assets_value : 103.368182 | Portfolio_change : -1.24%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:37:37.139340 | Cash : 390.434936129 | Assets_value : 103.46944800000003 | Portfolio_change : -1.22%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:42:48.564972 | Cash : 390.434936129 | Assets_value : 103.498488 | Portfolio_change : -1.21%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:48:00.249875 | Cash : 390.434936129 | Assets_value : 103.05301300000002 | Portfolio_change : -1.30%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:53:11.720162 | Cash : 390.434936129 | Assets_value : 102.45129499999999 | Portfolio_change : -1.42%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 08:58:23.347332 | Cash : 390.434936129 | Assets_value : 102.834001 | Portfolio_change : -1.35%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 09:03:34.761460 | Cash : 390.434936129 | Assets_value : 102.203168 | Portfolio_change : -1.47%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 09:08:46.421815 | Cash : 390.434936129 | Assets_value : 101.64077000000002 | Portfolio_change : -1.58%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 09:13:57.886411 | Cash : 390.434936129 | Assets_value : 102.40239700000001 | Portfolio_change : -1.43%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 09:19:09.551977 | Cash : 390.434936129 | Assets_value : 102.065334 | Portfolio_change : -1.50%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 09:24:20.950971 | Cash : 390.434936129 | Assets_value : 101.53698500000002 | Portfolio_change : -1.61%
Start Date : 2025-01-17 22:24:38.046853 | End Date : 2025-01-18 09:24:32.584688 | Cash : 390.434936129 | Assets_value : 101.503538 | Portfolio_change : -1.61%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 12:28:11.484512 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 12:33:22.955182 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
